number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,error
500,1,1,0.03,5,4,0.2802054
500,18,18,0.03,5,6,0.275505
500,20,20,0.03,5,10,0.2689527
500,47,47,0.03,5,20,0.2606408
500,1,1,0.03,20,2,0.2802487
500,1,1,0.03,20,4,0.2802486
500,15,15,0.03,20,6,0.2755543
500,21,21,0.03,20,10,0.2692952
500,1,1,0.03,20,20,0.2617271
500,1,1,0.03,50,2,0.2802487
500,1,1,0.03,50,4,0.28024879999999996
500,17,17,0.03,50,6,0.2755976
500,18,18,0.03,50,10,0.269856
500,5,5,0.03,50,20,0.2627525
500,1,1,0.03,100,2,0.2802485
500,1,1,0.03,100,4,0.2802486
500,3,3,0.03,100,6,0.2757255
500,15,15,0.03,100,10,0.2713559
500,3,3,0.03,100,20,0.264648
500,1,1,0.05,1,2,0.2802487
500,4,4,0.05,1,4,0.27995939999999997
500,9,9,0.05,1,6,0.2756172
500,13,13,0.05,1,10,0.2694033
500,38,38,0.05,1,20,0.2625637
500,1,1,0.05,5,2,0.2802485
500,4,4,0.05,5,4,0.2802368
500,9,9,0.05,5,6,0.2755228
500,13,13,0.05,5,10,0.2692716
500,43,43,0.05,5,20,0.2604319
500,1,1,0.05,20,2,0.2802485
500,1,1,0.05,20,4,0.2802487
500,9,9,0.05,20,6,0.2756232
500,133,133,0.05,20,10,0.264083
500,19,19,0.05,20,20,0.2616366
500,1,1,0.05,50,2,0.2802487
500,1,1,0.05,50,4,0.2801975
500,9,9,0.05,50,6,0.27565459999999997
500,13,13,0.05,50,10,0.2701434
500,3,3,0.05,50,20,0.2624946
500,1,1,0.05,100,2,0.2802486
500,1,1,0.05,100,4,0.2799927
500,1,1,0.05,100,6,0.2756802
500,40,40,0.05,100,10,0.2703147
500,1,1,0.05,100,20,0.2646106
500,1,1,0.1,1,2,0.2802486
500,486,486,0.1,1,4,0.2624886
500,2,2,0.1,1,6,0.2756802
500,156,156,0.1,1,10,0.2614259
500,29,29,0.1,1,20,0.26251230000000003
500,1,1,0.1,5,2,0.2802487
500,26,26,0.1,5,4,0.2760247
500,3,3,0.1,5,6,0.27565660000000003
500,171,171,0.1,5,10,0.2611759
500,18,18,0.1,5,20,0.26028039999999997
500,1,1,0.1,20,2,0.2802486
500,1,1,0.1,20,4,0.27987070000000003
500,3,3,0.1,20,6,0.2756487
500,103,103,0.1,20,10,0.263652
500,11,11,0.1,20,20,0.26170329999999997
500,1,1,0.1,50,2,0.2802486
500,85,85,0.1,50,4,0.2718756
500,1,1,0.1,50,6,0.2757352
500,5,5,0.1,50,10,0.2702929
500,1,1,0.1,50,20,0.26280159999999997
500,1,1,0.1,100,2,0.2802484
500,35,35,0.1,100,4,0.2769026
500,1,1,0.1,100,6,0.2757137
500,21,21,0.1,100,10,0.2701966
500,1,1,0.1,100,20,0.2645004
1e3,1,1,0.001,1,2,0.2802486
1e3,1,1,0.001,1,4,0.2802507
1e3,1,1,0.001,1,6,0.2757964
1e3,2,2,0.001,1,10,0.2712949
1e3,2,2,0.001,1,20,0.2651165
1e3,1,1,0.001,5,2,0.2802486
1e3,1,1,0.001,5,4,0.2802486
1e3,1,1,0.001,5,6,0.2757609
1e3,7,7,0.001,5,10,0.2708854
1e3,73,73,0.001,5,20,0.2616877
1e3,1,1,0.001,20,2,0.2802486
1e3,1,1,0.001,20,4,0.2802487
1e3,3,3,0.001,20,6,0.2757588
1e3,1,1,0.001,20,10,0.2708854
1e3,3,3,0.001,20,20,0.2619672
1e3,1,1,0.001,50,2,0.2802486
1e3,1,1,0.001,50,4,0.2802486
1e3,1,1,0.001,50,6,0.2757036
1e3,1,1,0.001,50,10,0.2711984
1e3,3,3,0.001,50,20,0.2626895
1e3,1,1,0.001,100,2,0.2802486
1e3,1,1,0.001,100,4,0.2802486
1e3,1,1,0.001,100,6,0.2755682
1e3,1,1,0.001,100,10,0.27154100000000003
1e3,6,6,0.001,100,20,0.2647446
1e3,1,1,0.003,1,2,0.2802485
1e3,2,2,0.003,1,4,0.2802487
1e3,57,57,0.003,1,6,0.2756388
1e3,2,2,0.003,1,10,0.2713815
1e3,197,197,0.003,1,20,0.263782
1e3,1,1,0.003,5,2,0.2802486
1e3,1,1,0.003,5,4,0.2802526
1e3,7,7,0.003,5,6,0.2756862
1e3,1,1,0.003,5,10,0.2704308
1e3,107,107,0.003,5,20,0.2610381
1e3,1,1,0.003,20,2,0.2802488
1e3,1,1,0.003,20,4,0.2802485
1e3,1,1,0.003,20,6,0.2757452
1e3,8,8,0.003,20,10,0.2709426
1e3,41,41,0.003,20,20,0.2619986
1e3,1,1,0.003,50,2,0.2802486
1e3,1,1,0.003,50,4,0.2802487
1e3,1,1,0.003,50,6,0.2757195
1e3,1,1,0.003,50,10,0.2714404
1e3,31,31,0.003,50,20,0.2626462
1e3,1,1,0.003,100,2,0.2802486
1e3,1,1,0.003,100,4,0.2802486
1e3,1,1,0.003,100,6,0.2757629
1e3,2,2,0.003,100,10,0.2718951
1e3,1,1,0.003,100,20,0.2646677
1e3,1,1,0.005,1,2,0.2802487
1e3,17,17,0.005,1,4,0.2802486
1e3,93,93,0.005,1,6,0.2756192
1e3,1,1,0.005,1,10,0.2715528
1e3,49,49,0.005,1,20,0.2640555
1e3,1,1,0.005,5,2,0.2802485
1e3,7,7,0.005,5,4,0.2802486
1e3,1,1,0.005,5,6,0.2757038
1e3,1,1,0.005,5,10,0.2704663
1e3,55,55,0.005,5,20,0.2611112
1e3,1,1,0.005,20,2,0.2802487
1e3,1,1,0.005,20,4,0.2802486
1e3,67,67,0.005,20,6,0.2756212
1e3,4,4,0.005,20,10,0.2706531
1e3,2,2,0.005,20,20,0.2619159
1e3,1,1,0.005,50,2,0.2802487
1e3,1,1,0.005,50,4,0.2802487
1e3,2,2,0.005,50,6,0.2756824
1e3,8,8,0.005,50,10,0.2716944
1e3,5,5,0.005,50,20,0.262772
1e3,1,1,0.005,100,2,0.2802487
1e3,1,1,0.005,100,4,0.2802487
1e3,1,1,0.005,100,6,0.2757866
1e3,1,1,0.005,100,10,0.2723164
1e3,1,1,0.005,100,20,0.2649965
1e3,1,1,0.01,1,2,0.2802486
1e3,14,14,0.01,1,4,0.2802486
1e3,46,46,0.01,1,6,0.2755739
1e3,20,20,0.01,1,10,0.27033240000000003
1e3,136,136,0.01,1,20,0.2628647
1e3,1,1,0.01,5,2,0.2802486
1e3,1,1,0.01,5,4,0.2802526
1e3,1,1,0.01,5,6,0.2757235
1e3,26,26,0.01,5,10,0.2699349
1e3,62,62,0.01,5,20,0.2609593
1e3,1,1,0.01,20,2,0.2802488
1e3,1,1,0.01,20,4,0.2802269
1e3,27,27,0.01,20,6,0.2756568
1e3,1,1,0.01,20,10,0.2714837
1e3,69,69,0.01,20,20,0.2617132
1e3,1,1,0.01,50,2,0.2802486
1e3,1,1,0.01,50,4,0.2802486
1e3,1,1,0.01,50,6,0.2757039
1e3,1,1,0.01,50,10,0.2718068
1e3,1,1,0.01,50,20,0.2626599
1e3,1,1,0.01,100,2,0.2802486
1e3,1,1,0.01,100,4,0.2802152
1e3,1,1,0.01,100,6,0.2757078
1e3,1,1,0.01,100,10,0.2718994
1e3,1,1,0.01,100,20,0.2645613
1e3,1,1,0.03,1,2,0.2802485
1e3,5,5,0.03,1,4,0.2802487
1e3,1,1,0.03,1,6,0.27535160000000003
1e3,20,20,0.03,1,10,0.2688995
1e3,91,91,0.03,1,20,0.26231170000000004
1e3,1,1,0.03,5,2,0.2802487
1e3,5,5,0.03,5,4,0.2802486
1e3,12,12,0.03,5,6,0.2756269
1e3,20,20,0.03,5,10,0.2688364
1e3,53,53,0.03,5,20,0.2604516
1e3,1,1,0.03,20,2,0.2802483
1e3,1,1,0.03,20,4,0.2802487
1e3,8,8,0.03,20,6,0.2752157
1e3,21,21,0.03,20,10,0.2693188
1e3,33,33,0.03,20,20,0.2615146
1e3,1,1,0.03,50,2,0.2802487
1e3,1,1,0.03,50,4,0.2802487
1e3,15,15,0.03,50,6,0.2756725
1e3,19,19,0.03,50,10,0.2704546
1e3,1,1,0.03,50,20,0.262723
1e3,1,1,0.03,100,2,0.2802487
1e3,1,1,0.03,100,4,0.2802486
1e3,4,4,0.03,100,6,0.2757176
1e3,7,7,0.03,100,10,0.2712535
1e3,3,3,0.03,100,20,0.2646085
1e3,1,1,0.05,1,2,0.2802486
1e3,2,2,0.05,1,4,0.2802487
1e3,9,9,0.05,1,6,0.275627
1e3,13,13,0.05,1,10,0.269173
1e3,51,51,0.05,1,20,0.2626227
1e3,1,1,0.05,5,2,0.2802487
1e3,4,4,0.05,5,4,0.2802112
1e3,7,7,0.05,5,6,0.27555229999999997
1e3,12,12,0.05,5,10,0.26893870000000003
1e3,29,29,0.05,5,20,0.2604557
1e3,1,1,0.05,20,2,0.2802487
1e3,1,1,0.05,20,4,0.2802488
1e3,9,9,0.05,20,6,0.275566
1e3,13,13,0.05,20,10,0.2692202
1e3,1,1,0.05,20,20,0.2617331
1e3,1,1,0.05,50,2,0.2802488
1e3,1,1,0.05,50,4,0.2802486
1e3,10,10,0.05,50,6,0.2756645
1e3,7,7,0.05,50,10,0.2700372
1e3,3,3,0.05,50,20,0.2626698
1e3,1,1,0.05,100,2,0.2802485
1e3,1,1,0.05,100,4,0.2802289
1e3,1,1,0.05,100,6,0.2756959
1e3,44,44,0.05,100,10,0.2702378
1e3,9,9,0.05,100,20,0.2646992
1e3,1,1,0.1,1,2,0.2802486
1e3,491,491,0.1,1,4,0.262601
1e3,5,5,0.1,1,6,0.27564469999999996
1e3,95,95,0.1,1,10,0.2620361
1e3,26,26,0.1,1,20,0.2626522
1e3,1,1,0.1,5,2,0.2802486
1e3,26,26,0.1,5,4,0.2757274
1e3,2,2,0.1,5,6,0.27565660000000003
1e3,114,114,0.1,5,10,0.261292
1e3,22,22,0.1,5,20,0.2605757
1e3,1,1,0.1,20,2,0.2802486
1e3,151,151,0.1,20,4,0.2693798
1e3,3,3,0.1,20,6,0.2756725
1e3,79,79,0.1,20,10,0.2633863
1e3,11,11,0.1,20,20,0.2614987
1e3,1,1,0.1,50,2,0.2802486
1e3,1,1,0.1,50,4,0.2801228
1e3,4,4,0.1,50,6,0.2757215
1e3,58,58,0.1,50,10,0.2669509
1e3,1,1,0.1,50,20,0.2626816
1e3,1,1,0.1,100,2,0.2802486
1e3,29,29,0.1,100,4,0.2768749
1e3,1,1,0.1,100,6,0.2757887
1e3,20,20,0.1,100,10,0.2701926
1e3,5,5,0.1,100,20,0.2645516
2500,1,1,0.001,1,2,0.2802486
2500,1,1,0.001,1,4,0.2802525
2500,28,28,0.001,1,6,0.2757964
2500,1,1,0.001,1,10,0.2715055
2500,6,6,0.001,1,20,0.2649334
2500,1,1,0.001,5,2,0.2802486
2500,11,11,0.001,5,4,0.2802487
2500,1,1,0.001,5,6,0.27569
2500,1,1,0.001,5,10,0.2713716
2500,1,1,0.001,5,20,0.2617527
2500,1,1,0.001,20,2,0.2802485
2500,1,1,0.001,20,4,0.2802485
